# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

62	Pythium coloratum	Pythium lutarium	Pythium aff. diclinum cluster	Pythium
62	Pythium diclinum	Pythium dissotocum	Pythium aff. diclinum cluster	Pythium
62	Pythium diclinum	Pythium lutarium	Pythium aff. diclinum cluster	Pythium
62	Pythium dissotocum	Pythium lutarium	Pythium aff. diclinum cluster	Pythium
63	Pythium amasculinum	Pythium hydnosporum	Pythium amasculinum cluster	Pythium
63	Pythium amasculinum	Pythium lycopersicum	Pythium amasculinum cluster	Pythium
63	Pythium amasculinum	Pythium oligandrum	Pythium amasculinum cluster	Pythium
63	Pythium amasculinum	Pythium ornamentatum	Pythium amasculinum cluster	Pythium
63	Pythium hydnosporum	Pythium lycopersicum	Pythium amasculinum cluster	Pythium
63	Pythium hydnosporum	Pythium oligandrum	Pythium amasculinum cluster	Pythium
63	Pythium hydnosporum	Pythium ornamentatum	Pythium amasculinum cluster	Pythium
63	Pythium lycopersicum	Pythium oligandrum	Pythium amasculinum cluster	Pythium
63	Pythium lycopersicum	Pythium ornamentatum	Pythium amasculinum cluster	Pythium
63	Pythium oligandrum	Pythium ornamentatum	Pythium amasculinum cluster	Pythium
